Date,day_length
2013-01-01,375
2013-01-02,377
2013-01-03,379
2013-01-04,381
2013-01-05,384
2013-01-06,386
2013-01-07,389
2013-01-08,392
2013-01-09,395
2013-01-10,398
2013-01-11,401
2013-01-12,405
2013-01-13,408
2013-01-14,412
2013-01-15,415
2013-01-16,419
2013-01-17,423
2013-01-18,427
2013-01-19,431
2013-01-20,435
2013-01-21,439
2013-01-22,444
2013-01-23,448
2013-01-24,452
2013-01-25,457
2013-01-26,461
2013-01-27,466
2013-01-28,470
2013-01-29,475
2013-01-30,480
2013-01-31,485
2013-02-01,489
2013-02-02,494
2013-02-03,499
2013-02-04,504
2013-02-05,509
2013-02-06,514
2013-02-07,519
2013-02-08,524
2013-02-09,529
2013-02-10,534
2013-02-11,539
2013-02-12,545
2013-02-13,550
2013-02-14,555
2013-02-15,560
2013-02-16,565
2013-02-17,571
2013-02-18,576
2013-02-19,581
2013-02-20,586
2013-02-21,592
2013-02-22,597
2013-02-23,602
2013-02-24,607
2013-02-25,613
2013-02-26,618
2013-02-27,623
2013-02-28,629
2013-03-01,634
2013-03-02,639
2013-03-03,645
2013-03-04,650
2013-03-05,655
2013-03-06,661
2013-03-07,666
2013-03-08,671
2013-03-09,677
2013-03-10,682
2013-03-11,687
2013-03-12,693
2013-03-13,698
2013-03-14,703
2013-03-15,709
2013-03-16,714
2013-03-17,719
2013-03-18,725
2013-03-19,730
2013-03-20,735
2013-03-21,741
2013-03-22,746
2013-03-23,751
2013-03-24,757
2013-03-25,762
2013-03-26,767
2013-03-27,773
2013-03-28,778
2013-03-29,783
2013-03-30,789
2013-03-31,794
2013-04-01,799
2013-04-02,805
2013-04-03,810
2013-04-04,815
2013-04-05,821
2013-04-06,826
2013-04-07,831
2013-04-08,837
2013-04-09,842
2013-04-10,847
2013-04-11,853
2013-04-12,858
2013-04-13,863
2013-04-14,868
2013-04-15,874
2013-04-16,879
2013-04-17,884
2013-04-18,889
2013-04-19,895
2013-04-20,900
2013-04-21,905
2013-04-22,910
2013-04-23,915
2013-04-24,921
2013-04-25,926
2013-04-26,931
2013-04-27,936
2013-04-28,941
2013-04-29,946
2013-04-30,951
2013-05-01,956
2013-05-02,961
2013-05-03,966
2013-05-04,971
2013-05-05,976
2013-05-06,981
2013-05-07,986
2013-05-08,991
2013-05-09,995
2013-05-10,1000
2013-05-11,1005
2013-05-12,1009
2013-05-13,1014
2013-05-14,1019
2013-05-15,1023
2013-05-16,1028
2013-05-17,1032
2013-05-18,1036
2013-05-19,1040
2013-05-20,1045
2013-05-21,1049
2013-05-22,1053
2013-05-23,1057
2013-05-24,1061
2013-05-25,1064
2013-05-26,1068
2013-05-27,1072
2013-05-28,1075
2013-05-29,1078
2013-05-30,1082
2013-05-31,1085
2013-06-01,1088
2013-06-02,1091
2013-06-03,1094
2013-06-04,1096
2013-06-05,1099
2013-06-06,1101
2013-06-07,1103
2013-06-08,1105
2013-06-09,1107
2013-06-10,1109
2013-06-11,1111
2013-06-12,1112
2013-06-13,1114
2013-06-14,1115
2013-06-15,1116
2013-06-16,1117
2013-06-17,1117
2013-06-18,1118
2013-06-19,1118
2013-06-20,1118
2013-06-21,1118
2013-06-22,1118
2013-06-23,1118
2013-06-24,1117
2013-06-25,1116
2013-06-26,1115
2013-06-27,1114
2013-06-28,1113
2013-06-29,1112
2013-06-30,1110
2013-07-01,1108
2013-07-02,1107
2013-07-03,1105
2013-07-04,1102
2013-07-05,1100
2013-07-06,1098
2013-07-07,1095
2013-07-08,1092
2013-07-09,1090
2013-07-10,1087
2013-07-11,1084
2013-07-12,1080
2013-07-13,1077
2013-07-14,1074
2013-07-15,1070
2013-07-16,1067
2013-07-17,1063
2013-07-18,1059
2013-07-19,1055
2013-07-20,1051
2013-07-21,1047
2013-07-22,1043
2013-07-23,1039
2013-07-24,1035
2013-07-25,1031
2013-07-26,1026
2013-07-27,1022
2013-07-28,1017
2013-07-29,1013
2013-07-30,1008
2013-07-31,1004
2013-08-01,999
2013-08-02,994
2013-08-03,990
2013-08-04,985
2013-08-05,980
2013-08-06,975
2013-08-07,970
2013-08-08,965
2013-08-09,960
2013-08-10,955
2013-08-11,950
2013-08-12,946
2013-08-13,940
2013-08-14,935
2013-08-15,930
2013-08-16,925
2013-08-17,920
2013-08-18,915
2013-08-19,910
2013-08-20,905
2013-08-21,900
2013-08-22,895
2013-08-23,889
2013-08-24,884
2013-08-25,879
2013-08-26,874
2013-08-27,869
2013-08-28,864
2013-08-29,858
2013-08-30,853
2013-08-31,848
2013-09-01,843
2013-09-02,837
2013-09-03,832
2013-09-04,827
2013-09-05,822
2013-09-06,817
2013-09-07,811
2013-09-08,806
2013-09-09,801
2013-09-10,796
2013-09-11,790
2013-09-12,785
2013-09-13,780
2013-09-14,775
2013-09-15,769
2013-09-16,764
2013-09-17,759
2013-09-18,754
2013-09-19,748
2013-09-20,743
2013-09-21,738
2013-09-22,732
2013-09-23,727
2013-09-24,722
2013-09-25,717
2013-09-26,711
2013-09-27,706
2013-09-28,701
2013-09-29,696
2013-09-30,690
2013-10-01,685
2013-10-02,680
2013-10-03,675
2013-10-04,669
2013-10-05,664
2013-10-06,659
2013-10-07,654
2013-10-08,648
2013-10-09,643
2013-10-10,638
2013-10-11,633
2013-10-12,627
2013-10-13,622
2013-10-14,617
2013-10-15,612
2013-10-16,606
2013-10-17,601
2013-10-18,596
2013-10-19,591
2013-10-20,586
2013-10-21,580
2013-10-22,575
2013-10-23,570
2013-10-24,565
2013-10-25,560
2013-10-26,555
2013-10-27,549
2013-10-28,544
2013-10-29,539
2013-10-30,534
2013-10-31,529
2013-11-01,524
2013-11-02,519
2013-11-03,514
2013-11-04,509
2013-11-05,504
2013-11-06,499
2013-11-07,495
2013-11-08,490
2013-11-09,485
2013-11-10,480
2013-11-11,476
2013-11-12,471
2013-11-13,466
2013-11-14,462
2013-11-15,457
2013-11-16,453
2013-11-17,449
2013-11-18,444
2013-11-19,440
2013-11-20,436
2013-11-21,432
2013-11-22,428
2013-11-23,424
2013-11-24,420
2013-11-25,416
2013-11-26,413
2013-11-27,409
2013-11-28,406
2013-11-29,402
2013-11-30,399
2013-12-01,396
2013-12-02,393
2013-12-03,390
2013-12-04,387
2013-12-05,385
2013-12-06,382
2013-12-07,380
2013-12-08,378
2013-12-09,376
2013-12-10,374
2013-12-11,372
2013-12-12,370
2013-12-13,369
2013-12-14,368
2013-12-15,367
2013-12-16,366
2013-12-17,365
2013-12-18,364
2013-12-19,364
2013-12-20,364
2013-12-21,364
2013-12-22,364
2013-12-23,364
2013-12-24,365
2013-12-25,365
2013-12-26,366
2013-12-27,367
2013-12-28,368
2013-12-29,370
2013-12-30,371
2013-12-31,373
2014-01-01,374
2014-01-02,376
2014-01-03,379
2014-01-04,381
2014-01-05,383
2014-01-06,386
2014-01-07,389
2014-01-08,391
2014-01-09,394
2014-01-10,397
2014-01-11,401
2014-01-12,404
2014-01-13,407
2014-01-14,411
2014-01-15,414
2014-01-16,418
2014-01-17,422
2014-01-18,426
2014-01-19,430
2014-01-20,434
2014-01-21,438
2014-01-22,442
2014-01-23,447
2014-01-24,451
2014-01-25,456
2014-01-26,460
2014-01-27,465
2014-01-28,469
2014-01-29,474
2014-01-30,479
2014-01-31,483
2014-02-01,488
2014-02-02,493
2014-02-03,498
2014-02-04,503
2014-02-05,508
2014-02-06,513
2014-02-07,518
2014-02-08,523
2014-02-09,528
2014-02-10,533
2014-02-11,538
2014-02-12,543
2014-02-13,549
2014-02-14,554
2014-02-15,559
2014-02-16,564
2014-02-17,569
2014-02-18,575
2014-02-19,580
2014-02-20,585
2014-02-21,590
2014-02-22,596
2014-02-23,601
2014-02-24,606
2014-02-25,611
2014-02-26,617
2014-02-27,622
2014-02-28,627
2014-03-01,633
2014-03-02,638
2014-03-03,643
2014-03-04,649
2014-03-05,654
2014-03-06,659
2014-03-07,665
2014-03-08,670
2014-03-09,675
2014-03-10,681
2014-03-11,686
2014-03-12,691
2014-03-13,697
2014-03-14,702
2014-03-15,707
2014-03-16,713
2014-03-17,718
2014-03-18,723
2014-03-19,729
2014-03-20,734
2014-03-21,739
2014-03-22,745
2014-03-23,750
2014-03-24,756
2014-03-25,761
2014-03-26,766
2014-03-27,772
2014-03-28,777
2014-03-29,782
2014-03-30,788
2014-03-31,793
2014-04-01,798
2014-04-02,804
2014-04-03,809
2014-04-04,814
2014-04-05,819
2014-04-06,825
2014-04-07,830
2014-04-08,835
2014-04-09,841
2014-04-10,846
2014-04-11,851
2014-04-12,857
2014-04-13,862
2014-04-14,867
2014-04-15,872
2014-04-16,878
2014-04-17,883
2014-04-18,888
2014-04-19,893
2014-04-20,899
2014-04-21,904
2014-04-22,909
2014-04-23,914
2014-04-24,919
2014-04-25,924
2014-04-26,930
2014-04-27,935
2014-04-28,940
2014-04-29,945
2014-04-30,950
2014-05-01,955
2014-05-02,960
2014-05-03,965
2014-05-04,970
2014-05-05,975
2014-05-06,980
2014-05-07,985
2014-05-08,989
2014-05-09,994
2014-05-10,999
2014-05-11,1004
2014-05-12,1008
2014-05-13,1013
2014-05-14,1018
2014-05-15,1022
2014-05-16,1026
2014-05-17,1031
2014-05-18,1035
2014-05-19,1039
2014-05-20,1044
2014-05-21,1048
2014-05-22,1052
2014-05-23,1056
2014-05-24,1060
2014-05-25,1063
2014-05-26,1067
2014-05-27,1071
2014-05-28,1074
2014-05-29,1078
2014-05-30,1081
2014-05-31,1084
2014-06-01,1087
2014-06-02,1090
2014-06-03,1093
2014-06-04,1096
2014-06-05,1098
2014-06-06,1101
2014-06-07,1103
2014-06-08,1105
2014-06-09,1107
2014-06-10,1109
2014-06-11,1110
2014-06-12,1112
2014-06-13,1113
2014-06-14,1115
2014-06-15,1116
2014-06-16,1116
2014-06-17,1117
2014-06-18,1118
2014-06-19,1118
2014-06-20,1118
2014-06-21,1118
2014-06-22,1118
2014-06-23,1118
2014-06-24,1117
2014-06-25,1116
2014-06-26,1116
2014-06-27,1115
2014-06-28,1113
2014-06-29,1112
2014-06-30,1111
2014-07-01,1109
2014-07-02,1107
2014-07-03,1105
2014-07-04,1103
2014-07-05,1101
2014-07-06,1098
2014-07-07,1096
2014-07-08,1093
2014-07-09,1090
2014-07-10,1087
2014-07-11,1084
2014-07-12,1081
2014-07-13,1078
2014-07-14,1075
2014-07-15,1071
2014-07-16,1068
2014-07-17,1064
2014-07-18,1060
2014-07-19,1056
2014-07-20,1052
2014-07-21,1048
2014-07-22,1044
2014-07-23,1040
2014-07-24,1036
2014-07-25,1032
2014-07-26,1027
2014-07-27,1023
2014-07-28,1018
2014-07-29,1014
2014-07-30,1009
2014-07-31,1005
2014-08-01,1000
2014-08-02,995
2014-08-03,991
2014-08-04,986
2014-08-05,981
2014-08-06,976
2014-08-07,971
2014-08-08,967
2014-08-09,962
2014-08-10,957
2014-08-11,952
2014-08-12,947
2014-08-13,942
2014-08-14,937
2014-08-15,932
2014-08-16,927
2014-08-17,921
2014-08-18,916
2014-08-19,911
2014-08-20,906
2014-08-21,901
2014-08-22,896
2014-08-23,891
2014-08-24,886
2014-08-25,880
2014-08-26,875
2014-08-27,870
2014-08-28,865
2014-08-29,860
2014-08-30,854
2014-08-31,849
2014-09-01,844
2014-09-02,839
2014-09-03,834
2014-09-04,828
2014-09-05,823
2014-09-06,818
2014-09-07,813
2014-09-08,807
2014-09-09,802
2014-09-10,797
2014-09-11,792
2014-09-12,786
2014-09-13,781
2014-09-14,776
2014-09-15,771
2014-09-16,765
2014-09-17,760
2014-09-18,755
2014-09-19,750
2014-09-20,744
2014-09-21,739
2014-09-22,734
2014-09-23,728
2014-09-24,723
2014-09-25,718
2014-09-26,713
2014-09-27,707
2014-09-28,702
2014-09-29,697
2014-09-30,692
2014-10-01,686
2014-10-02,681
2014-10-03,676
2014-10-04,671
2014-10-05,665
2014-10-06,660
2014-10-07,655
2014-10-08,650
2014-10-09,644
2014-10-10,639
2014-10-11,634
2014-10-12,629
2014-10-13,623
2014-10-14,618
2014-10-15,613
2014-10-16,608
2014-10-17,602
2014-10-18,597
2014-10-19,592
2014-10-20,587
2014-10-21,582
2014-10-22,576
2014-10-23,571
2014-10-24,566
2014-10-25,561
2014-10-26,556
2014-10-27,551
2014-10-28,546
2014-10-29,541
2014-10-30,535
2014-10-31,530
2014-11-01,525
2014-11-02,520
2014-11-03,515
2014-11-04,510
2014-11-05,506
2014-11-06,501
2014-11-07,496
2014-11-08,491
2014-11-09,486
2014-11-10,481
2014-11-11,477
2014-11-12,472
2014-11-13,468
2014-11-14,463
2014-11-15,458
2014-11-16,454
2014-11-17,450
2014-11-18,445
2014-11-19,441
2014-11-20,437
2014-11-21,433
2014-11-22,429
2014-11-23,425
2014-11-24,421
2014-11-25,417
2014-11-26,413
2014-11-27,410
2014-11-28,406
2014-11-29,403
2014-11-30,400
2014-12-01,397
2014-12-02,394
2014-12-03,391
2014-12-04,388
2014-12-05,385
2014-12-06,383
2014-12-07,380
2014-12-08,378
2014-12-09,376
2014-12-10,374
2014-12-11,372
2014-12-12,371
2014-12-13,369
2014-12-14,368
2014-12-15,367
2014-12-16,366
2014-12-17,365
2014-12-18,364
2014-12-19,364
2014-12-20,364
2014-12-21,364
2014-12-22,364
2014-12-23,364
2014-12-24,364
2014-12-25,365
2014-12-26,366
2014-12-27,367
2014-12-28,368
2014-12-29,369
2014-12-30,371
2014-12-31,372
2015-01-01,374
2015-01-02,376
2015-01-03,378
2015-01-04,380
2015-01-05,383
2015-01-06,385
2015-01-07,388
2015-01-08,391
2015-01-09,394
2015-01-10,397
2015-01-11,400
2015-01-12,403
2015-01-13,406
2015-01-14,410
2015-01-15,414
2015-01-16,417
2015-01-17,421
2015-01-18,425
2015-01-19,429
2015-01-20,433
2015-01-21,437
2015-01-22,441
2015-01-23,446
2015-01-24,450
2015-01-25,455
2015-01-26,459
2015-01-27,464
2015-01-28,468
2015-01-29,473
2015-01-30,478
